--- 0x89702330..0x89702E24  159 noms ---
  0x897052A4  ONL_GAME_SPEED_3
  0x897052B8  FIFAGMSPEED
  0x897052C4  ONL_HELP_CONTROLLER
  0x897052D8  ONL_CONTROLLER
  0x897052E8  ONL_CONTROLLER_3
  0x897052FC  ONL_CONTROLLER_1
  0x89705310  ANY
  0x89705314  FIFACSCTRL
  0x89705320  ONL_HELP_HALF_LENGTH
  0x89705338  ONL_HALF_LENGTH
  0x89705348  ONL_HALF_LENGTH_11
  0x8970535C  ONL_HALF_LENGTH_10
  0x89705370  ONL_HALF_LENGTH_9
  0x89705384  ONL_HALF_LENGTH_8
  0x89705398  ONL_HALF_LENGTH_7
  0x897053AC  ONL_HALF_LENGTH_6
  0x897053C0  ONL_HALF_LENGTH_5
  0x897053D4  ONL_HALF_LENGTH_4
  0x897053E8  ONL_HALF_LENGTH_3
  0x897053FC  ONL_HALF_LENGTH_2
  0x89705410  ONL_HALF_LENGTH_1
  0x89705424  FIFAHFLH
  0x89705430  FIFATMST
  0x8970543C  ONL_HELP_TEAM_LEVEL
  0x89705450  ONL_TEAM_LEVEL
  0x89705460  ONL_TEAM_LEVEL_4
  0x89705474  ONL_TEAM_LEVEL_3
  0x89705488  ONL_TEAM_LEVEL_2
  0x8970549C  ONL_TEAM_LEVEL_1
  0x897054B0  ONL_TEAM_LEVEL_ANY
  0x897054C4  FIFATMLV
  0x897054D0  ONL_HELP_SKILL_LEVEL
  0x897054E8  ONL_SKILL_LEVEL
  0x897054F8  ONL_SKILL_LEVEL_99
  0x8970550C  ONL_SKILL_LEVEL_75
  0x89705520  ONL_SKILL_LEVEL_50
  0x89705534  ONL_SKILL_LEVEL_25
  0x89705548  ONL_SKILL_LEVEL_1
  0x8970555C  SLVL
  0x89705564  skillLevel
  0x89705570  CLCHV
  0x89705578  CLUB_CUP
  0x89705584  _COID
  0x8970558C  _G_N_
  0x89705594  _G_I_
  0x8970559C  _G_O_
  0x897055A4  _G_C_
--- 0x897057B8..0x89705EBC  133 noms ---
  0x897057B8  score
  0x897057C0  nucId
  0x897057C8  friends
  0x897057D0  user
  0x897057D8  attributes
  0x897057E4  assetId
  0x897057EC  nationId
  0x897057F8  playStyle
  0x89705804  preferPosition
  0x89705814  rarity
  0x8970581C  playerId
  0x89705828  numPastMatches
  0x89705838  seasonType
  0x89705844  pastMatches
  0x89705850  maxPts
  0x89705858  titleLvl
  0x89705864  titlePt
  0x8970586C  promoPt
  0x89705874  relegPt
  0x8970587C  points
  0x89705884  season
  0x8970588C  data
  0x89705894  reference
  0x897058A0  content_fileId_skill_game_summary
  0x897058C4  content_fileId_career_player
  0x897058E4  content_fileId_career_group_summary
  0x89705908  content_fileId_career_cup_summary
  0x8970592C  content_fileId_career_season_summary
  0x89705954  content_fileId_online_season_summary
  0x8970597C  content_fileId_fut_earning_lb
  0x8970599C  content_fileId_fut_single_season_summary
  0x897059C8  content_fileId_fut_online_season_summary
  0x897059F4  content_fileId_fut_tournament_summary
  0x89705A1C  content_fileId_fut_squad
  0x89705A38  content_fileId_fut_player
  0x89705A54  event
  0x89705A5C  files
  0x89705A64  param2
  0x89705A6C  param1
  0x89705A74  statval
  0x89705A7C  lbtype
  0x89705A84  numusers
  0x89705A90  configuration
  0x89705AA0  actionTypeId
  0x89705AB0  type
  0x89705AB8  original
  0x89705AC4  tournamentinfo
  0x89705AD4  numOfLocNames
  0x89705AE4  locNames
  0x89705AF0  locLangs
  0x89705AFC  locTournament
  0x89705B0C  estdate
  0x89705B14  teamname
  0x89705B20  owner
  0x89705B28  formationPosition
  0x89705B3C  linkStrength
  0x89705B4C  linkPosition
  0x89705B5C  cardChemistry
  0x89705B6C  cardKCTextBoxY
  0x89705B7C  cardKCTextBoxX
  0x89705B8C  cardKCAttributeY
  0x89705BA0  cardKCAttributeX
  0x89705BB4  cardTextBoxY
  0x89705BC4  cardTextBoxX
  0x89705BD4  cardAttributeY
  0x89705BE4  cardAttributeX
  0x89705BF4  lineup
  0x89705BFC  playerName
  0x89705C08  teamName
  0x89705C14  clubId
  0x89705C1C  chemistry
  0x89705C28  rating
  0x89705C30  formation
  0x89705C3C  rewardamount
  0x89705C4C  rewardtype
  0x89705C58  futplayercard
  0x89705C68  futteam
  0x89705C70  seasoninfo
  0x89705C7C  numOfRewards
  0x89705C8C  rewardinfo
  0x89705C98  newdivision
  0x89705CA4  movement
  0x89705CB0  losses
  0x89705CB8  draws
  0x89705CC0  wins
  0x89705CC8  division
  0x89705CD4  coins
  0x89705CDC  badgeid
  0x89705CE4  season_played
  0x89705CF4  season_championships
  0x89705D0C  season_points
  0x89705D1C  builder
  0x89705D24  collector
  0x89705D30  trader
  0x89705D38  competitor
  0x89705D44  rows
  0x89705D4C  leagueid
  0x89705D58  transferFrom
  0x89705D68  country
  0x89705D70  transferTo
  0x89705D7C  age
  0x89705D80  pitcharea
  0x89705D8C  position
  0x89705D98  overall
  0x89705DA0  playername
  0x89705DAC  playerid
  0x89705DB8  maxpoints
  0x89705DC4  rank
  0x89705DCC  groupid
  0x89705DD4  cupname
  0x89705DDC  pts
  0x89705DE4  teaminfo
  0x89705DF0  matchinfo
  0x89705DFC  careertype
  0x89705E08  userteamid
  0x89705E14  cupid
  0x89705E1C  nucid
  0x89705E24  substitutes
  0x89705E30  content
  0x89705E38  actions
  0x89705E40  nucUserId
  0x89705E4C  value
  0x89705E54  name
  0x89705E5C  template
  0x89705E68  category
  0x89705E74  sku
  0x89705E78  commId
  0x89705E80  commType
  0x89705E8C  timestamp
  0x89705E98  communications
  0x89705EA8  totalCount
  0x89705EB4  message
  0x89705EBC  alert
--- 0x8970A674..0x8970A9C4  44 noms ---
  0x8970A674  ScenarioCacheData
  0x8970A688  fifahub
  0x8970A690  easfcnewsalerts
  0x8970A6A0  futstore
  0x8970A6AC  futwchub
  0x8970A6B8  futhub
  0x8970A6C0  easfc_alert
  0x8970A6CC  TXT_EASFC_ACTION_GO_TO_CATALOGUE
  0x8970A6F0  easfc_catalog
  0x8970A700  easfc_home
  0x8970A70C  TXT_EASFC_ACTION_GO_TO_SKILLS_GAME
  0x8970A730  skillgame
  0x8970A73C  matchday_highlights
  0x8970A750  matchday_gotw
  0x8970A760  matchday_live_fixture
  0x8970A778  TXT_EASFC_ACTION_GO_TO_GOTW
  0x8970A794  matchday_kick_off
  0x8970A7A8  tournament_home
  0x8970A7B8  TXT_EASFC_ACTION_GO_TO_CAREER
  0x8970A7D8  career_load
  0x8970A7E4  online_bundesliga
  0x8970A7F8  online_fiwc
  0x8970A804  TXT_EASFC_ACTION_GO_TO_CLUBS_TRANSFER
  0x8970A82C  clubs_transfer
  0x8970A83C  TXT_EASFC_ACTION_GO_TO_CLUBS_MATCHLOBBY
  0x8970A864  online_clubs_lobby
  0x8970A878  TXT_EASFC_ACTION_GO_TO_CLUBS
  0x8970A898  online_clubs
